company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
Leading Client,"RoleHardware Design Engineer,",Not Disclosed,3 - 8 years,Bengaluru,"Job description- Hardware Development, Sustenance and Support of access router platforms as directed by Cisco SPAG Development team - Hardware Development involves, understanding requirements, design, implementation and extensive testing and documentation - Sustenance involves understanding requirements, design, implementation and extensive unit testing and documentation - Support involves activities such as handling customer query, configuration, trouble shooting. - Should be familiar with Ethernet technologies, PCIe, FreescaleIntel processor based designs etc. - We are looking for people with experience in Hardware Design in (Telecom Infra products only- such as Router, Siwthes, Base Stations, etc) and NOOT indusctial or Consumer product category. - Should have exp in hardware engineer. - Should have exp in Telecom domain. - Should have exp in cisco.RoleHardware Design Engineer,Industry TypeIT-Software, Software Services,Functional AreaIT Hardware, Technical Support, Telecom Engineering,Employment TypeFull Time, PermanentRole CategoryIT HardwareEducationUG :BCA in Computers, B.Sc in Any Specialization, B.Tech/B.E. in Any SpecializationPG :Any Postgraduate in Any SpecializationDoctorate :Doctorate Not Required, Any Doctorate in Any SpecializationKey SkillsHardware DevelopmentTelecomHardware DesignPCI - eSustenance","['Hardware Development', 'Telecom', 'Hardware Design', 'PCI - e', 'Sustenance']","['UG :BCA in Computers, B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization', 'PG :Any Postgraduate in Any Specialization', 'Doctorate :Doctorate Not Required, Any Doctorate in Any Specialization']","Industry TypeIT-Software, Software Services,","Functional AreaIT Hardware, Technical Support, Telecom Engineering,","Employment TypeFull Time, Permanent",Role CategoryIT Hardware
"QACA is the leading provider of Management System Certification, Trainings","RoleCustomer Support Engineer/Technician,","₹ 1,50,000 - 2,25,000 P.A. ",0 - 4 years,Nasik,"Job description?Quality Audit as per Check Sheet.?Reaching at site on time?Carry out Acceptance Test as per guidelines. ?Ensure compliance of safety at site.Civil/Electrical/Mechanical engineering requiredRequired Candidate profile?Fresh/ 1 years, experience in telecom site jobs and knowledge in technical.?Good learner and ability to move anywhere.?Ability to communicate fluently with the customers and should possess good customer service skillsPerks and BenefitsTA and DARoleCustomer Support Engineer/Technician,Industry TypeTelcom, ISP,Functional AreaIT Hardware, Technical Support, Telecom Engineering,Employment TypeFull Time, PermanentRole CategoryTechnical SupportEducationUG :Diploma in Any Specialization, B.Tech/B.E. in Electrical, Electronics/Telecommunication, Any Specialization, Mechanical, CivilPG :Post Graduation Not RequiredKey SkillsCivilMechanicalElectrical Engineering","['Civil', 'Mechanical', 'Electrical Engineering']","['UG :Diploma in Any Specialization, B.Tech/B.E. in Electrical, Electronics/Telecommunication, Any Specialization, Mechanical, Civil', 'PG :Post Graduation Not Required']","Industry TypeTelcom, ISP,","Functional AreaIT Hardware, Technical Support, Telecom Engineering,","Employment TypeFull Time, Permanent",Role CategoryTechnical Support
"QACA is the leading provider of Management System Certification, Trainings","RoleCustomer Support Engineer/Technician,","₹ 1,50,000 - 2,25,000 P.A. ",0 - 4 years,Mohali,"Job description?Quality Audit as per Check Sheet.?Reaching at site on time?Carry out Acceptance Test as per guidelines. ?Ensure compliance of safety at site.Civil/Electrical/Mechanical engineering requiredRequired Candidate profile?Fresh/ 1 years, experience in telecom site jobs and knowledge in technical.?Good learner and ability to move anywhere.?Ability to communicate fluently with the customers and should possess good customer service skillsPerks and BenefitsTA and DARoleCustomer Support Engineer/Technician,Industry TypeTelcom, ISP,Functional AreaIT Hardware, Technical Support, Telecom Engineering,Employment TypeFull Time, PermanentRole CategoryTechnical SupportEducationUG :B.Tech/B.E. in Electrical, Electronics/Telecommunication, Any Specialization, Mechanical, Civil, Diploma in Any SpecializationPG :Post Graduation Not RequiredKey SkillsCivilMechanicalElectrical Engineering","['Civil', 'Mechanical', 'Electrical Engineering']","['UG :B.Tech/B.E. in Electrical, Electronics/Telecommunication, Any Specialization, Mechanical, Civil, Diploma in Any Specialization', 'PG :Post Graduation Not Required']","Industry TypeTelcom, ISP,","Functional AreaIT Hardware, Technical Support, Telecom Engineering,","Employment TypeFull Time, Permanent",Role CategoryTechnical Support
EGIS India Consulting Engineers Pvt. Ltd.,"RoleTechnical Support Manager,",Not Disclosed,8 - 13 years,Kolkata,"Job descriptionEntity description

Egis in India is an integrated infrastructure company that offers the dual advantage of French expertise & experience in integrated infrastructure development in over 100 countries coupled with around two decades of knowledge & understanding of the Indian markets. This makes Egis best suited to offer end- to- end infrastructure solutions for a global India. Egis has been present in India since 1994,   providing state- of- the- art infrastructure solutions for more than two decades.

The range of services offered by Egis in India includes planning,   feasibility studies,   detailed engineering,   procurement assistance,   construction supervision and overall program management as well as operation & maintenance (for roads & airports) in the following sectors:

Roads and Highways Water and Environment Rail Urban Development Aviation Building Engineering GIS & Data Mining Ports 

Candidate criteria

Minimum educational 

BE/ B.Tech. (Electrical,   Electronic & Communication or Equivalent) with min 8 + years of Exp

Description of the position

Detailed description of the position

Will be Responsible for planning,   design approvals,   managing systems interface,   installation testing and commissioning of complete Signalling & Train control systems ( Ixl,   ATP,   ATO,   ATS etc.) Review and finalization of Signalling tenders and Estimates metro Project. Responsible for review and finalization of Signalling & designs non- interlocking and interlocking area in all depots submitted by contractors. Review Project management plan,   Interface Management plan,   Work plan,   Quality Assurance,   System Assurance (RAMS) plan,   Design Management plan,   Inspection Installation Test and Commissioning plan,   Training plan,   Preliminary Maintenance Plan. Responsible for Approving of Factory acceptance plans and carrying out FATs of tests of Signalling Material Issuing of acceptance certificates. Responsible for Coordination with Civil,   E&M,   Architect,   Track,   Rolling stock & PST departments for addressing various Interfacing issues. Responsible for Compiling of Signalling system documents and coordinate for their approval  Automatic Train Protection system (ATP) designs in coordination with Rolling stock Responsible for review of Automatic Train Operation system (ATO) and Train Protection system (ATP) designs in coordination with Rolling stock & Telecom. Responsible for planning,   design approvals,   managing systems interface,   installation testing and commissioning of all Telecom systems mainly CCTV,   VTS,   BTN,   Radio,   Telephone,   Clock etc. 

 Required fields

Civility 

Sir 

Madam 

Name  

First name 

Email  

Country 

-  None -  Afghanistan Afrique du Sud Albanie Algrie Allemagne Andorre Angola Anguilla Antarctique Antigua et Barbuda Antilles nerlandaises Arabie Saoudite Argentine Armnie Aruba Australie Autriche Azerbadjan Bahamas Bahren Bangladesh Barbade Belgique Belize Bnin Bermudes Bhoutan Bilorussie Birmanie Bolivie Bonaire,   Sint Eustatius and Saba Bosnie- Herzgovine Botswana Brsil Brunei Bulgarie Burkina Faso Burundi Cambodge Cameroun Canada Cap- Vert Chili Chine Chypre Colombie Comores Congo (Brazzaville) Congo (Kinshasa) Core du Nord Core du Sud Costa Rica Cte d'Ivoire Croatie Cuba Curaao Danemark Djibouti Dominique gypte mirats arabes unis quateur rythre Espagne Estonie tats- Unis thiopie Fidji Finlande France Gabon Gambie Gorgie Gorgie du Sud et les les Sandwich du Sud Ghana Gibraltar Grce Grenade Groenland Guadeloupe Guam Guatemala Guernesey Guine Guine- Bissau Guine quatoriale Guyane Guyane franaise Hati Honduras Hong Kong R.A.S.,   Chine Hongrie le Bouvet le Christmas le de Man le Norfolk les Aland les Camans les Cocos (Keeling) les Cook les Fro les Heard et MacDonald les Malouines les Mariannes du Nord les Marshall les mineures loignes des tats- Unis les Salomon les Turques- et- Caques les Vierges amricaines les Vierges britanniques Inde Indonsie Irak Iran Irlande Islande Isral Italie Jamaque Japon Jersey Jordanie Kazakhstan Kenya Kirghizistan Kiribati Kosovo Kowet Laos Lesotho Lettonie Liban Libria Liechtenstein Lituanie Luxembourg Lybie Macao R.A.S.,   Chine Macdoine Madagascar Malaisie Malawi Maldives Mali Malte Maroc Martinique Maurice Mauritanie Mayotte Mexique Micronsie Moldavie Monaco Mongolie Montngro Montserrat Mozambique Namibie Nauru Npal Nicaragua Niger Nigeria Niue Norvge Nouvelle- Caldonie Nouvelle- Zlande Oman Ouganda Ouzbkistan Pakistan Palaos Panama Papouasie- Nouvelle- Guine Paraguay Pays- Bas Prou Philippines Pitcairn Pologne Polynsie franaise Porto Rico Portugal Qatar Rpublique centrafricaine Rpublique dominicaine Rpublique tchque Runion Roumanie Royaume- Uni Russie Rwanda Sahara occidental Saint- Christophe- et- Nivs Saint- Marin Saint- Martin (partie franaise) Saint- Pierre- et- Miquelon Saint- Vincent- et- les- Grenadines Saint Barthlemy Sainte- Hlne Sainte- Lucie Salvador Samoa Samoa amricaines Sao Tom- et- Principe Sngal Serbie Seychelles Sierra Leone Singapour Sint Maarten (Dutch part) Slovaquie Slovnie Somalie Soudan South Sudan Sri Lanka Sude Suisse Suriname Svalbard et le Jan Mayen Swaziland Syrie Tadjikistan Tawan Tanzanie Tchad Terres australes franaises Territoire britannique de l'ocan Indien Territoire palestinien Thalande Timor oriental Togo Tokelau Tonga Trinit- et- Tobago Tunisie Turkmnistan Turquie Tuvalu Ukraine Uruguay Vanuatu Vatican Venezuela Vietnam Wallis et Futuna Ymen Zambie Zimbabwe 

Caisse des dpts 

I am part of the Caisse des Dpts Group 

Phone number 

Message  

Curriculum Vitae  

Files must be less than 2 MB.

Allowed file types: odf pdf doc docx zip.

Add another attachment.

Another attachment 

Files must be less than 2 MB.

Allowed file types: odf pdf doc docx zip.

RoleTechnical Support Manager,Industry TypeConstruction, Engineering, Cement, Metals,Functional AreaIT Hardware, Technical Support, Telecom Engineering,Employment TypeFull Time, PermanentRole CategoryTechnical SupportEducationUG :B.Tech/B.E. in ElectricalPG :Post Graduation Not RequiredKey SkillsGISTelecomFrenchAviationWANProject managementTelecommunicationData miningCCTVTechnical support","['GIS', 'Telecom', 'French', 'Aviation', 'WAN', 'Project management', 'Telecommunication', 'Data mining', 'CCTV', 'Technical support']","['UG :B.Tech/B.E. in Electrical', 'PG :Post Graduation Not Required']","Industry TypeConstruction, Engineering, Cement, Metals,","Functional AreaIT Hardware, Technical Support, Telecom Engineering,","Employment TypeFull Time, Permanent",Role CategoryTechnical Support
"Welcome to Innovis Telecom Services (P) Ltd. Innovis helps customers manage the network lifecycle services more efficiently, adding agility, flexibility and ","RoleNetwork Planning Engineer,",Not Disclosed,5 - 9 years,Bengaluru,"Job description  Job Description :   The purpose of this job is to support customer teams and Projects remotely from the NPO service delivery Centerin the IP & IMS network planning and optimization related services. The responbilities will include the tasks in. Network Design, . Network Dimensioning,  Detail Planning and Optimisation of IP based networks. Network Planning of Products like Cisco, Juniper, Huwai,   ( routers/ Switches, Firewall)  	Understand customer Network requirement in Telecom Network.	Prepare Network planning and High Level Design of the Network.	Database preparation and IP Planning for above mentioned products.	Provide documentation of the Planned Network.	Able to performe individually Technical Skill :    Good knowledge in IP based technologies,  protocols such as TCP/ IP,  Routing Protocols like OSPF, BGP, RIP, IS- IS ,  MPLS, Traffic Engineering, QoS.	Understanding of IP planning, Configuration   (Cisco/ Juniper etc)   NE	Prefferred:   Network planning experience for Cisco/ Juniper,  any tool experience on Network Plannnig,  IP planning for any Telecom Network	Hands- on experience on Cisco and Juniper based Routers,  Cisco L2/ L3 Switches,  and Network Security platform.	Experience of IP Planning/ Design on Telecom/ ISP based networks like CS/ PS Core,  MPLS Backbone, Next Generation Elements like Charging System/ Next Generation HLR/ IMS preferred.	Strong Technical and Communications skills with excellent conceptual knowledge.	IP Certifications on Cisco/ Juniper like CCNA/ CCNP/ CCDP/ JNCIA/ JNCIS preferred.	Good Configuration and troubleshooting experience in Routing/ Switching.	Good understanding of operator business drivers and technologies in the IP network areas.	Ability to link the customer requests to our services and service development	Customer consulting & project handling experience. RoleNetwork Planning Engineer,Industry TypeIT-Software, Software Services,Functional AreaIT Hardware, Technical Support, Telecom Engineering,Employment TypeFull Time, PermanentRole CategoryTelecomEducationUG :BCA in ComputersPG :Post Graduation Not RequiredKey Skillsoptimizationfirewallswitchestroubleshootingtelecomccnarouterscisconetwork planning","['optimization', 'firewall', 'switches', 'troubleshooting', 'telecom', 'ccna', 'routers', 'cisco', 'network planning']","['UG :BCA in Computers', 'PG :Post Graduation Not Required']","Industry TypeIT-Software, Software Services,","Functional AreaIT Hardware, Technical Support, Telecom Engineering,","Employment TypeFull Time, Permanent",Role CategoryTelecom
Networking,"RoleSwitching/Router Engineer,","₹ 3,00,000 - 3,50,000 P.A. ",2 - 4 years,Bengaluru( Rajaji Nagar ),"Job descriptionSupporting Telecom Network on daily basis.Daily health check and monitoring of NOC and Network.*Trouble  shooting of live network issues and media problems.Testing  faulty cards for repair and coordinating with team for sending the cards .RoleSwitching/Router Engineer,Industry TypeIT-Hardware & Networking,Functional AreaIT Hardware, Technical Support, Telecom Engineering,Employment TypeFull Time, PermanentRole CategoryTelecomEducationUG :Diploma in Any Specialization, B.Tech/B.E. in Electronics/TelecommunicationPG :Post Graduation Not RequiredDoctorate :Any Doctorate in Any Specialization, Doctorate Not RequiredKey SkillsNOCNetworkingTelecom EngineeringNOC EngineerTroubleshootingTelecom NetworkJupiter Switching","['NOC', 'Networking', 'Telecom Engineering', 'NOC Engineer', 'Troubleshooting', 'Telecom Network', 'Jupiter Switching']","['UG :Diploma in Any Specialization, B.Tech/B.E. in Electronics/Telecommunication', 'PG :Post Graduation Not Required', 'Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required']","Industry TypeIT-Hardware & Networking,","Functional AreaIT Hardware, Technical Support, Telecom Engineering,","Employment TypeFull Time, Permanent",Role CategoryTelecom
"Trignotek Systems Private Limited was founded to be one of the leading service providers of installation, commissioning and maintenance solutions for companies involved in the communications infrastructure market. The company supplies major OEMs, Network and Mobile operators and equipment vendors with a complete range of resource and telecoms turnkey solutions, including building maintenance and facilities management. Working in partnership with leading industry names to deliver a full range of technical solutions, to the highest quality standards required by the industry. New technologies mean new and evolving requirements and challenges. Trignotek Systems Private Limited work with our clients to innovate new ways of project delivery and performing value-added services for our customers. Our unique selling propositions stand for something specific, and it becomes what we are known for. Our personalized service packages for customers leverage no hard and fast rules which are well accepted. Trignotek Systems Private Limited's services range from network inspection to vendor management understanding very well that a well-maintained network will require less corrective maintenance and will be easier and more reliable to operate. At Trignotek Systems Private Limited, we believe consulting is all about finding ways to make business more effective and efficient - about giving a source of competitive advantage. Trignotek Systems Private Limited focus on business needs of our customer and provide solutions based on industry specific innovative solutions.","RoleNetwork Planning Engineer,",Not Disclosed,0 - 1 years,Kerala,"Job description   To climb telecom towers    Installation of BTS and E-Node B   Installation of Microwave, CDMA and GSM Antennas.    Dismantling of various instruments like Microwave, CDMA, GSM antennas BTS etc.    Installation and swapping of GSM Antenna 6 8 port RRH, RRU OM   Installation of Samsung 4G (LTE) CDU, RDU BTS, Microwave antenna Installation link commissioning through NEC.   Installation of RRURRH and their Jumperfeeder connection to GSM antenna and CPRI Connection to 4G CDU, RDU Samsung BTS for JIO.   Material mobilization in intra-site locations   Civil work as per requirement   Link Alignment   Rectifier (DC Power System) Installation        Male between 20 to 35 years age   Physically fit to climb towers and working at height certifications   Ability to work under pressure       RoleNetwork Planning Engineer,Industry TypeBroadcasting,Functional AreaIT Hardware, Technical Support, Telecom Engineering,Employment TypeFull Time, PermanentRole CategoryTelecomEducationUG :Diploma in MechanicalPG :Post Graduation Not RequiredKey SkillsGSMPower systemTelecomTelecom engineeringCivilIT hardwareCdmaNECTechnical support","['GSM', 'Power system', 'Telecom', 'Telecom engineering', 'Civil', 'IT hardware', 'Cdma', 'NEC', 'Technical support']","['UG :Diploma in Mechanical', 'PG :Post Graduation Not Required']","Industry TypeBroadcasting,","Functional AreaIT Hardware, Technical Support, Telecom Engineering,","Employment TypeFull Time, Permanent",Role CategoryTelecom
"Universal Manpower Online aims to provide quality service to job seekers and genuinely help  in connecting with the right companies. We are doing hiring for MNC BPOs, KPOs and LPOs in Delhi, Gurgaon, Noida, Mumbai, Hyderabad and Bangalore.","RoleAssociate/Senior Associate -(NonTechnical),","₹ 1,50,000 - 2,00,000 P.A. ",0 - 5 years,Indore,"Job descriptionJob  Role  Company  - Tata Business Support Services Job  - Customer Care Officer Employment  in on company payroll Fresher  Salary - 13K Experienced  Salary - 17K Six  Days working One  side cab in odd hours Immediate  joiners needed One  day selection  Candidate should be Graduate or Undergraduate.  No backlogs.   Excellent communication skills   Willingness to provide great customer service   Immediate Joiners   Call 9315941334, 9315508814, 9315515053 for  interviewRoleAssociate/Senior Associate -(NonTechnical),Industry TypeBPO, Call Centre, ITeS,Functional AreaITES, BPO, KPO, LPO, Customer Service, Operations,Employment TypeFull Time, PermanentRole CategoryVoiceEducationUG :Any Graduate in Any Specialization, Graduation Not RequiredPG :Any Postgraduate in Any Specialization, Post Graduation Not RequiredDoctorate :Any Doctorate in Any Specialization, Doctorate Not RequiredKey Skillsbpobbainboundmca freshercustomer servicecustomer carecall centerkpofresher engineerfresher traineevoice processFresherbpo hiringmba freshersupport servicesundergraduatecommunication skills","['bpo', 'bba', 'inbound', 'mca fresher', 'customer service', 'customer care', 'call center', 'kpo', 'fresher engineer', 'fresher trainee', 'voice process', 'Fresher', 'bpo hiring', 'mba fresher', 'support services', 'undergraduate', 'communication skills']","['UG :Any Graduate in Any Specialization, Graduation Not Required', 'PG :Any Postgraduate in Any Specialization, Post Graduation Not Required', 'Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required']","Industry TypeBPO, Call Centre, ITeS,","Functional AreaITES, BPO, KPO, LPO, Customer Service, Operations,","Employment TypeFull Time, Permanent",Role CategoryVoice
We help candidates get into non technical jobs,"RoleAssociate/Senior Associate -(NonTechnical),","₹ 2,00,000 - 2,50,000 P.A. ",0 - 5 years,Bengaluru,"Job descriptionBPO (Voice) Job opportunity in Tin factory(KR Puram), Bangalore. The job opportunity is with thebiggest Grocery startupin India.All interviews will be online and if selected, joining will be immediateCandidate should be fluent in English & HindiCTC: 17,000 - 21,000/month (depending on experience)In-hand salary: 14,000 - 18,000/month (depending on experience)Type: Office based - Full timeJob Description:- Handle customer queries over call- Handle customer feedback and improve CSAT- Candidate should know English & HindiRoleAssociate/Senior Associate -(NonTechnical),Industry TypeBPO, Call Centre, ITeS,Functional AreaITES, BPO, KPO, LPO, Customer Service, Operations,Employment TypeFull Time, PermanentRole CategoryVoiceEducationUG :Graduation Not Required, Any Graduate in Any SpecializationPG :Post Graduation Not Required, Any Postgraduate in Any SpecializationDoctorate :Doctorate Not RequiredKey Skillsbpovoicedomestic bpovoice processcallingtypingcall centerkpocustomer handling","['bpo', 'voice', 'domestic bpo', 'voice process', 'calling', 'typing', 'call center', 'kpo', 'customer handling']","['UG :Graduation Not Required, Any Graduate in Any Specialization', 'PG :Post Graduation Not Required, Any Postgraduate in Any Specialization', 'Doctorate :Doctorate Not Required']","Industry TypeBPO, Call Centre, ITeS,","Functional AreaITES, BPO, KPO, LPO, Customer Service, Operations,","Employment TypeFull Time, Permanent",Role CategoryVoice
"Incorporated in 2006, Black & White Business Solutions Pvt Ltd has been the training and staffing industry""s leader and innovator, and today, has evolved as a premier provider of manpower for some of the fortune 500 companies for their junior/middle & executive talent management staffing needs. We work with our clients hand on hand to overcome the challenges they face in attracting / interviewing and retaining Junior / Middle & Top Management professionals, Black & White recruitment services range from executive, corporate governance, Top Management, ITES, IT and Non IT industries.","RoleAssociate/Senior Associate -(NonTechnical),","₹ 2,25,000 - 3,50,000 P.A. ",0 - 5 years,Bengaluru,"Job description    HI Dear Applicant,Quarantined ?? Get your JOB Sitting at your homeAny  Engineer can apply - TOP MNC's Hiring candidates through telephonic  rounds of interview, Golden opportunity easy way of selection, save out  time and money, JOB in your hand though yourQuarantined.. :) Contact HR Vaishnavi @ 9535175728Email ID : hr5728@blackwhite.in  ""Telephonic rounds of interview, online offer letter ""         Hiring TOP MNC's with Multiple Process      Customer Support :        Health Care bpo ( Saturday and Sunday fixed off).      Accounts Receivable( Semi Voice Process )       Mortgage Process ( Insurance)       Insurance      Medical BillingOrder Management     Banking / collections ( Voice / Non Voice )       Accounts & Finance     Technical Support : Semi Voice / Non Voice Process      Technical Trouble Shooting      Hardware and Networking      IT Help Desk      Desktop Support      Technical Chat / Email Support      Application Support (Voice)      IT Trouble Shooting      Benefits :      Day Shifts / UK Shift / US Shift / Rotational Shifts      4.5 C.T.C      Two way Transport      Unlimited incentive Structure      No registration Fees     Skills Required:-    Good English Communication Skills      Graduates / PUC / Diploma fresher or Experience in BPO (0-5yrs) can apply     Venue :         Black and White Business Solutions Pvt Ltd,     #721, 2nd Floor, CMH Road Indiranagar Bangalore-560038 Land Mark: CMH Bus-stop or KFC Bus-stop  Contact Details :     HR - Vaishnavi       Phone - 9535175728       Email Id         - hr5728@blackwhite.in       Interview Days  -  Monday to Saturday      Timings    -    9: 30 am to 2:00 pm     Documents Required :          Fresher :         10th / 12th / Graduation all semester Marks card       Aadhar Card ID proof      Pan Card ID      Experience :     Previous Companies Offer letter / relieving letter / one month pay slips       10th / 12th / Graduation all semester Marks card      Aadhar Card ID proof      Pan Card ID       *************PLEASE DO REFER YOUR FRIENDS*************       Required Candidate profileOne day interview process - Fresher / Experienced can applyDesired Candidate Profile * Possess good analytical skills - detail oriented * Possess good communication skills, both oral and written * Have a good attitude - should be committed to the work.* Any graduates can appear or 10+2 , 10+3.* Should be flexible with rotational shift.Perks and BenefitsBest in the industry + Incentives + NSARoleAssociate/Senior Associate -(NonTechnical),Industry TypeBPO, Call Centre, ITeS,Functional AreaITES, BPO, KPO, LPO, Customer Service, Operations,Employment TypeFull Time, PermanentRole CategoryVoiceEducationUG :Any Graduate in Any Specialization, Any Graduate in Any Specialization, Graduation Not Required, Any Graduate in Any SpecializationPG :Any Postgraduate in Any Specialization, Any Postgraduate in Any Specialization, Post Graduation Not Required, Post Graduation Not Required, Post Graduation Not Required, Any Postgraduate in Any SpecializationDoctorate :Any Doctorate in Any Specialization, Doctorate Not Required, Doctorate Not Required, Any Doctorate in Any Specialization, Any Doctorate in Any Specialization, Doctorate Not RequiredKey Skillsbpocsasenior customer care executivefreshervoice processcustomer support executiveinboundcustomer carecustomer service representativeinternational call centersenior customer service executivecall center","['bpo', 'csa', 'senior customer care executive', 'fresher', 'voice process', 'customer support executive', 'inbound', 'customer care', 'customer service representative', 'international call center', 'senior customer service executive', 'call center']","['UG :Any Graduate in Any Specialization, Any Graduate in Any Specialization, Graduation Not Required, Any Graduate in Any Specialization', 'PG :Any Postgraduate in Any Specialization, Any Postgraduate in Any Specialization, Post Graduation Not Required, Post Graduation Not Required, Post Graduation Not Required, Any Postgraduate in Any Specialization', 'Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required, Doctorate Not Required, Any Doctorate in Any Specialization, Any Doctorate in Any Specialization, Doctorate Not Required']","Industry TypeBPO, Call Centre, ITeS,","Functional AreaITES, BPO, KPO, LPO, Customer Service, Operations,","Employment TypeFull Time, Permanent",Role CategoryVoice
"Infosearch BPO is a 15 years old BPO & Call Centre company with a team size of 260 employees. The company has plans to double the employee count in a year. We are looking for skilled, interested and positive attitude team to grow with us.","RoleAssociate/Senior Associate -(NonTechnical),",Not Disclosed,0 - 1 years,Chennai( Gopalapuram ),"Job descriptionGreetings from Infosearch BPO Services Pvt Ltd!!Openings for International Voice Process!! No Sales Target!! Night Shift!! Weekends OFF!!Grab your Opportunity - WORK FROM HOME (Laptop/PC, Internet Connection is mandatory)Job Description:*It is a simple verification process.*No Sales Target*Fixed Weekends OFF*Shift Timing : 6.30PM - 3.30AM (US Shift)Interested candidate can contact Aswini HR @ 6374061670Required Candidate profile*Candidates with decent communication skill in English*0-1yr of exp in international voice process would be an added advantage.*Freshers with maximum 3 backlogs can also apply*Immediate joiners are preferredNote : 2020 passed out who haven't completed their final semester are not eligible.Perks and BenefitsBest in IndustryRoleAssociate/Senior Associate -(NonTechnical),Industry TypeBPO, Call Centre, ITeS,Functional AreaITES, BPO, KPO, LPO, Customer Service, Operations,Employment TypeFull Time, Freelance/HomebasedRole CategoryVoiceEducationUG :Graduation Not Required, Any Graduate in Any SpecializationPG :Post Graduation Not Required, Any Postgraduate in Any SpecializationDoctorate :Any Doctorate in Any Specialization, Doctorate Not RequiredKey SkillsBPOnight shiftmatriccall centreCustomer ServiceInternational Call CenterUS ShiftitesVoice ProcesskpoengineerEngineeringfresherbpo freshermatriculationgraduateangloCall CenterInternational Voice ProcesscbseInternational BPO","['BPO', 'night shift', 'matric', 'call centre', 'Customer Service', 'International Call Center', 'US Shift', 'ites', 'Voice Process', 'kpo', 'engineer', 'Engineering', 'fresher', 'bpo fresher', 'matriculation', 'graduate', 'anglo', 'Call Center', 'International Voice Process', 'cbse', 'International BPO']","['UG :Graduation Not Required, Any Graduate in Any Specialization', 'PG :Post Graduation Not Required, Any Postgraduate in Any Specialization', 'Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required']","Industry TypeBPO, Call Centre, ITeS,","Functional AreaITES, BPO, KPO, LPO, Customer Service, Operations,","Employment TypeFull Time, Freelance/Homebased",Role CategoryVoice
2Coms Consulting Pvt Ltd.,"RoleAssociate/Senior Associate -(NonTechnical),","₹ 90,000 - 2,00,000 P.A. ",0 years,Navi Mumbai,"Job descriptionDear Candidates,   Greetings from 2COMS consulting pvt ltd!!!We are Leading consulting firm in all over India.   Limited Vacancy For Non Voice Process In Big Mnc to Start Your Career!!!Job Location- MDC7, MUMBAI.Job Description-Apply knowledge of processes and related systems to assist in identifying, assessing and resolving issues/problems. And interaction with client and customer over the chat. Qualification- Only Graduate with Hard copy of result. (No B.tech, B.e, Bca, Bsc IT, Mba, )Only Fresher can apply this Job.  Salary- CTC 15K + P.F +E.S.I + OTHERS.Company Provide you Both Side Can Facility.Only local candidate in Mumbai can apply . Shift- Only Evening Shift (5.30- 3.30 pm)Its is Rotational week off.Eligibility Criteria:-Excellent communication skill  Should be a graduate.  Flexible to work in night shift Good Verbal/written communication.Good analytical/computer skills (Excel skills, email writing) You will get a chance to work in Mnc and make your career. After 18 months through ijp you can promote yourself.To more details send your cv this mail id chanchal.das@2coms.com OR call @ 8777354386   Note- no registration charges and no bond to sign.     You can share this Job with your friends and family who is      looking job and start their career in mnc.    Thanks & RegardsChanchal DasSr Recruiter2COMS Consulting.   Perks and BenefitsPF - ESI - CABRoleAssociate/Senior Associate -(NonTechnical),Industry TypeBPO, Call Centre, ITeS,Functional AreaITES, BPO, KPO, LPO, Customer Service, Operations,Employment TypeFull Time, PermanentRole CategoryVoiceEducationUG :B.Sc in Any Specialization, B.A in Any Specialization, B.B.A / B.M.S in ManagementPG :Post Graduation Not RequiredDoctorate :Doctorate Not RequiredKey Skillsbpobbanon voice processcustomer service executivebcachat processInternational Call Centerback officebhmgood in englishNon VoicekpoBbmCommunication Skillsfresherbscemail supportbpo non voiceba","['bpo', 'bba', 'non voice process', 'customer service executive', 'bca', 'chat process', 'International Call Center', 'back office', 'bhm', 'good in english', 'Non Voice', 'kpo', 'Bbm', 'Communication Skills', 'fresher', 'bsc', 'email support', 'bpo non voice', 'ba']","['UG :B.Sc in Any Specialization, B.A in Any Specialization, B.B.A / B.M.S in Management', 'PG :Post Graduation Not Required', 'Doctorate :Doctorate Not Required']","Industry TypeBPO, Call Centre, ITeS,","Functional AreaITES, BPO, KPO, LPO, Customer Service, Operations,","Employment TypeFull Time, Permanent",Role CategoryVoice
